gene	status
ETNK2	LOW_EXPRESSION
REN	TESTED
KISS1	TESTED
GOLT1A	TESTED
PLEKHA6	TESTED
PPP1R15B	TESTED
PIK3C2B	TESTED
LRRN2	LOW_EXPRESSION
TMEM81	LOW_EXPRESSION
RBBP5	TESTED
DSTYK	TESTED
NUAK2	TESTED
KLHDC8A	LOW_EXPRESSION
LEMD1	TESTED
ELK4	TESTED
SLC45A3	TESTED
NUCKS1	TESTED
RAB29	TESTED
SLC41A1	TESTED
PM20D1	LOW_EXPRESSION
SLC26A9	TESTED
RAB7B	LOW_EXPRESSION
CTSE	TESTED
FAM72A	LOW_EXPRESSION
EIF2D	TESTED
AL591846.2	TESTED
IL10	LOW_EXPRESSION
FCMR	TESTED
PIGR	TESTED
FCAMR	LOW_EXPRESSION
C1orf116	TESTED
YOD1	TESTED
MIR29B2CHG	TESTED
CD34	LOW_EXPRESSION
PLXNA2	TESTED
AC099793.1	LOW_EXPRESSION
LAMB3	TESTED
AL031316.1	LOW_EXPRESSION
C1orf74	TESTED
IRF6	TESTED
SERTAD4-AS1	TESTED
SLC30A1	TESTED
AL356310.1	LOW_EXPRESSION
NEK2	TESTED
LPGAT1	TESTED
INTS7	TESTED
AL451060.1	LOW_EXPRESSION
AL360091.3	LOW_EXPRESSION
TMEM206	TESTED
AC092803.2	TESTED
AL590648.3	LOW_EXPRESSION
BATF3	LOW_EXPRESSION
NSL1	TESTED
