pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa04924	Renin secretion	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	39	3	3.0950594121325827	0.07167045097404112	EDN1;EDN3;ITPR2	DONE	NOMINAL_P_ONLY	False
hsa04621	NOD-like receptor signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	119	6	2.028694404591105	0.07474469656301097	GBP1;GBP2;IKBKE;ITPR2;MAP1LC3A;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04668	TNF signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	91	5	2.210756722951845	0.07500467369353528	BCL3;CREB3L1;EDN1;IRF1;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	40	3	3.017682926829268	0.07613159940353496	CACNB2;CACNG8;DES	DONE	NOMINAL_P_ONLY	False
hsa04080	Neuroactive ligand-receptor interaction	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	60	3	2.9813253012048193	0.07875439085470316	GAL;KISS1;NMU	DONE	NOMINAL_P_ONLY	False
hsa05143	African trypanosomiasis	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	19	2	4.235344458707745	0.07958908081172579	HBA2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04110	Cell cycle	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	140	5	2.1295180722891565	0.08486944528135772	CCNB2;CDC25B;E2F1;MAD2L1;SKP2	DONE	NOMINAL_P_ONLY	False
hsa04918	Thyroid hormone synthesis	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	42	3	2.8739837398373984	0.08541108529471467	CREB3L1;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04148	Efferocytosis	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	100	4	2.3850602409638553	0.08613824331507956	ADAM9;MFGE8;PTGS2;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa00514	Other types of O-glycan biosynthesis	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	32	2	3.726656626506024	0.09978442442916956	B4GALT2;POFUT2	DONE	NOMINAL_P_ONLY	False
hsa04061	Viral protein interaction with cytokine and cytokine receptor	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	32	2	3.726656626506024	0.09978442442916956	PPBP;TNFRSF10D	DONE	NOMINAL_P_ONLY	False
hsa04612	Antigen processing and presentation	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	45	3	2.6823848238482384	0.10017978553528774	CD74;HSPA1A;TAPBPL	DONE	NOMINAL_P_ONLY	False
hsa04914	Progesterone-mediated oocyte maturation	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	67	3	2.6698435533177487	0.1016094744615071	CCNB2;CDC25B;MAD2L1	DONE	NOMINAL_P_ONLY	False
hsa04611	Platelet activation	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	72	4	2.2353206865401987	0.10312832668303319	COL1A2;ITPR2;P2RY1;PRKG1	DONE	NOMINAL_P_ONLY	False
hsa04015	Rap1 signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	130	6	1.8570356472795497	0.10361092317940868	P2RY1;PDGFA;PRKCG;RAP1GAP;SIPA1;THBS1	DONE	NOMINAL_P_ONLY	False
hsa03272	Virion - Hepatitis viruses	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	33	2	3.6137276378240233	0.10510732606297661	CLDN2;DPP4	DONE	NOMINAL_P_ONLY	False
hsa04976	Bile secretion	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	33	2	3.6137276378240233	0.10510732606297661	NCEH1;SLC2A1	DONE	NOMINAL_P_ONLY	False
hsa04115	p53 signaling pathway	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	69	3	2.5924567836563646	0.10857975832480794	CCNB2;SERPINB5;ZMAT3	DONE	NOMINAL_P_ONLY	False
hsa04960	Aldosterone-regulated sodium reabsorption	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	23	2	3.4987628137150937	0.11052953424113218	PRKCG;SLC9A3R2	DONE	NOMINAL_P_ONLY	False
hsa04082	Neuroactive ligand signaling	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	47	3	2.5682407887908667	0.11055659967757915	P2RX4;P2RY1;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa04928	Parathyroid hormone synthesis, secretion and action	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	74	4	2.1749066139310043	0.11118102306825693	CREB3L1;ITPR2;PRKCG;WNK2	DONE	NOMINAL_P_ONLY	False
hsa04670	Leukocyte transendothelial migration	kegg_annotated_sensitivity	higher_in_LYPLA1_high	4949	83	70	3	2.555421686746988	0.11213361957949927	ARHGAP5;CLDN2;PLCG2	DONE	NOMINAL_P_ONLY	False
hsa04010	MAPK signaling pathway	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	197	8	1.6339399942222772	0.11576003139136869	CACNB2;CACNG8;DUSP1;HSPA1A;MAPK8IP1;PDGFA;PRKCG;TRAF2	DONE	NOMINAL_P_ONLY	False
hsa04726	Serotonergic synapse	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	48	3	2.5147357723577235	0.11589494254616349	DUSP1;ITPR2;PRKCG	DONE	NOMINAL_P_ONLY	False
hsa05414	Dilated cardiomyopathy	kegg_annotated_sensitivity	lower_in_LYPLA1_high	4949	123	48	3	2.5147357723577235	0.11589494254616349	CACNB2;CACNG8;DES	DONE	NOMINAL_P_ONLY	False
