cohort	contrast	direction	library	term	universe_n	selected_n	term_n	overlap_n	p_value	genes	q_contrast	q_joint4
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Long-Chain Fatty Acid Transport (GO:0015909)	13204	1491	16	5	0.02744899596	ABCD3;ACSL3;FABP3;RPS6KB1;SLC27A4	0.3375783778	0.3368508571
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Long-Chain fatty-acyl-CoA Metabolic Process (GO:0035336)	13204	1491	18	4	0.1374924598	ACSL3;DGAT1;ELOVL2;ELOVL5	0.6481483806	0.6668942347
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lung Development (GO:0030324)	13204	1491	20	0	1		1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	13204	1491	17	2	0.587486527	CXCL13;HSD3B7	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lymphocyte Differentiation (GO:0030098)	13204	1491	45	5	0.5852301249	LY6D;PBX1;RABL3;SOX4;TPD52	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lysosomal Lumen Acidification (GO:0007042)	13204	1491	17	3	0.2998715714	ATP6AP2;ATP6V1A;ATP6V1H	0.9201290671	0.8870317015
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lysosomal Transport (GO:0007041)	13204	1491	93	13	0.247944629	ARL8B;BECN1;HOOK3;KIF13A;LAMP1;NCOA4;PLEKHF2;RAB7A;RHOB;SCARB2;SORT1;VPS35;ZFYVE16	0.8881164047	0.8307634727
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lysosome Localization (GO:0032418)	13204	1491	35	0	1		1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lysosome Organization (GO:0007040)	13204	1491	34	2	0.9096481539	HOOK3;TMEM165	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	Lytic Vacuole Organization (GO:0080171)	13204	1491	30	1	0.9726438703	HOOK3	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA 3'-End Processing (GO:0031124)	13204	1491	38	5	0.4311244504	CPSF6;GRSF1;PEX2;SCAF8;SLBP	1	0.9908873712
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Catabolic Process (GO:0006402)	13204	1491	41	4	0.695288986	NUDT16L1;XRN2;YTHDF2;ZFP36L2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Cis Splicing, Via Spliceosome (GO:0045292)	13204	1491	16	0	1		1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Destabilization (GO:0061157)	13204	1491	39	8	0.06647442454	RBM24;ROCK1;ROCK2;YTHDF1;YTHDF2;YTHDF3;ZFP36L1;ZFP36L2	0.4919258621	0.5000536829
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Export From Nucleus (GO:0006406)	13204	1491	55	5	0.7591371409	FYTTD1;PCID2;RAE1;SMG1;THOC2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Metabolic Process (GO:0016071)	13204	1491	77	8	0.6525702852	CPSF6;EREG;HNRNPAB;HNRNPR;NUDT16L1;PCBP2;YTHDF2;ZFP36L2	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Methylation (GO:0080009)	13204	1491	15	2	0.5178897614	VIRMA;ZC3H13	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Modification (GO:0016556)	13204	1491	26	5	0.1629204044	HNRNPAB;PUS7L;TRUB2;VIRMA;ZC3H13	0.7099063014	0.7090244415
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Polyadenylation (GO:0006378)	13204	1491	23	3	0.4899456227	GRSF1;PEX2;SCAF8	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Processing (GO:0006397)	13204	1491	200	14	0.984550045	CDC40;CPSF6;HNRNPF;HNRNPK;HNRNPR;HSPA8;PRPF4;PRPF40A;PRPF6;RBM4;RNPS1;SLU7;SNRPB2;SYNCRIP	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Splice Site Recognition (GO:0006376)	13204	1491	25	1	0.9501336044	SLU7	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Splicing, Via Spliceosome (GO:0000398)	13204	1491	201	14	0.9854281303	CDC40;HNRNPF;HNRNPK;HNRNPR;HSPA8;PRPF4;PRPF40A;PRPF6;RBM4;RNPS1;SLU7;SNRPB2;STRAP;SYNCRIP	1	1
Pal2021_reprocessed	high_vs_zero	up	GO_Biological_Process_2023	mRNA Stabilization (GO:0048255)	13204	1491	37	3	0.8044457845	RBM24;RBM47;SYNCRIP	1	1
