gene	stable_gene_id	in_current_pool	history_only	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_background
ASAH1	UniProtKB:Q13510	True	False	0.2735656300661525	0.1372745508104404	0.2404738585119063	11	NOT_SUPPORTED_THIS_TEST
ASAH2	UniProtKB:Q9NR71	True	False	NA	NA	NA	0	NOT_EVALUABLE
ASH1L	UniProtKB:Q9NR48	False	True	0.3502709578211216	0.0531095705888183	0.1461765263654361	11	NOT_SUPPORTED_THIS_TEST
ASMT	UniProtKB:P46597	True	False	-0.25107583650199	0.03522995565479	0.1130103772303005	11	NOMINAL_EXPLORATORY
ASNS	UniProtKB:P08243	False	True	-0.6678668345717352	0.0293097688594063	0.1022267548023196	11	NOMINAL_EXPLORATORY
ASPG	UniProtKB:Q86U10	False	True	-0.4443147668865236	0.0057433216524563	0.0584311321184284	11	NOMINAL_EXPLORATORY
ASPH	UniProtKB:Q12797	False	True	1.088873066891071	0.0024612764746908	0.0548657216119157	11	NOMINAL_EXPLORATORY
ATP13A3	UniProtKB:Q9H7F0	True	False	0.4465497304617308	0.1464203114901777	0.2460259655651286	11	NOT_SUPPORTED_THIS_TEST
ATP13A4	UniProtKB:Q4VNC1	False	True	-0.5088134597721027	0.0467117615791547	0.136784497432057	11	NOMINAL_EXPLORATORY
ATPSCKMT	UniProtKB:Q6P4H8	False	True	0.1150335332621009	0.3727478251881394	0.5028579151123014	11	NOT_SUPPORTED_THIS_TEST
AWAT2	UniProtKB:Q6E213	True	False	-0.21509920711465	0.0708922134660971	0.1651922332653395	11	NOT_SUPPORTED_THIS_TEST
BAAT	UniProtKB:Q14032	True	False	-0.2627766067454909	0.1453704686340275	0.2460259655651286	11	NOT_SUPPORTED_THIS_TEST
BBOX1	UniProtKB:O75936	True	False	0.1266265985198628	0.4367598390567594	0.5340578230050474	11	NOT_SUPPORTED_THIS_TEST
BCAT1	UniProtKB:P54687	False	True	-0.9670998516741272	0.0007300102753495	0.0548657216119157	11	NOMINAL_EXPLORATORY
BCAT2	UniProtKB:O15382	True	False	-0.4726907184408762	0.0001791887652379	0.0221298125068847	11	FDR_SUPPORTED
BCDIN3D	UniProtKB:Q7Z5W3	False	True	-0.1564171354216948	0.1332243162871317	0.2452928398591395	11	NOT_SUPPORTED_THIS_TEST
BDH2	UniProtKB:Q9BUT1	False	True	0.24074415437493	0.3358290640649018	0.4594813404581558	11	NOT_SUPPORTED_THIS_TEST
BEST1	UniProtKB:O76090	False	True	-0.1766828020211218	0.0432821492883713	0.129846447865114	11	NOMINAL_EXPLORATORY
BEST2	UniProtKB:Q8NFU1	False	True	-0.2923341837679263	0.0471890573891478	0.136784497432057	11	NOMINAL_EXPLORATORY
BLVRA	UniProtKB:P53004	False	True	0.5220346834844436	0.0010452958858317	0.0548657216119157	11	NOMINAL_EXPLORATORY
BLVRB	UniProtKB:P30043	False	True	0.0617997084447473	0.5897860088206672	0.6970198286062431	11	NOT_SUPPORTED_THIS_TEST
BST1	UniProtKB:Q10588	False	True	0.320179071579809	0.0143659033679964	0.0702742022750811	11	NOMINAL_EXPLORATORY
BUD23	UniProtKB:O43709	False	True	0.0134458584070728	0.9073240578581347	0.9447621864590772	11	NOT_SUPPORTED_THIS_TEST
CAD	UniProtKB:P27708	False	True	0.12841114841119	0.2538910302126611	0.383518492821238	11	NOT_SUPPORTED_THIS_TEST
CAMKMT	UniProtKB:Q7Z624	False	True	-0.2563580479779256	0.0024244001800095	0.0548657216119157	11	NOMINAL_EXPLORATORY
CARM1	UniProtKB:Q86X55	False	True	-0.0894361727103308	0.1840574280039429	0.3048673228327858	11	NOT_SUPPORTED_THIS_TEST
CARNMT1	UniProtKB:Q8N4J0	True	False	-0.0486919821593645	0.6337558749431159	0.6988290228167394	11	NOT_SUPPORTED_THIS_TEST
CARNS1	UniProtKB:A5YM72	True	False	-0.4825653530066571	0.0053252498956221	0.0435194445409835	11	FDR_SUPPORTED
CD38	UniProtKB:P28907	False	True	0.1103691759476744	0.4381105078553395	0.5571850327136357	11	NOT_SUPPORTED_THIS_TEST
CDA	UniProtKB:P32320	True	False	0.8100761046656509	0.0049334800794939	0.0424626882744791	11	FDR_SUPPORTED
CDK5RAP1	UniProtKB:Q96SZ6	False	True	0.1041663382566062	0.1767635633214284	0.2985494829326488	11	NOT_SUPPORTED_THIS_TEST
CDKAL1	UniProtKB:Q5VV42	False	True	0.2087387769733474	0.1290008676864082	0.2416653809496468	11	NOT_SUPPORTED_THIS_TEST
CEL	UniProtKB:P19835	False	True	-2.7020845795375954	0.0122220743263717	0.0702742022750811	11	NOMINAL_EXPLORATORY
CES1	UniProtKB:P23141	True	False	0.2712897178471562	0.246967126785051	0.352606244600622	11	NOT_SUPPORTED_THIS_TEST
CES2	UniProtKB:O00748	True	False	0.2548891167082527	0.0975860256733807	0.1967681513324342	11	NOT_SUPPORTED_THIS_TEST
CISD1	UniProtKB:Q9NZ45	True	False	0.7115917358711153	0.0031018248088966	0.0360085897666478	11	FDR_SUPPORTED
CLYBL	UniProtKB:Q8N0X4	True	False	-0.0944325186321436	0.4274819367647351	0.5279401919044479	11	NOT_SUPPORTED_THIS_TEST
CMPK1	UniProtKB:P30085	False	True	0.2472263975663518	0.1577151912960099	0.2793943637702315	11	NOT_SUPPORTED_THIS_TEST
CMPK2	UniProtKB:Q5EBM0	True	False	-0.0444087463374416	0.5913310874425858	0.669994397239994	11	NOT_SUPPORTED_THIS_TEST
CMTR1	UniProtKB:Q8N1G2	False	True	0.29750976745368	0.114212830852655	0.2227150201626773	11	NOT_SUPPORTED_THIS_TEST
CMTR2	UniProtKB:Q8IYT2	False	True	0.1500192581096163	0.0482223682584942	0.1388415837778121	11	NOMINAL_EXPLORATORY
CNDP1	UniProtKB:Q96KN2	True	False	-0.1206638381206763	0.2090945659462279	0.3190750354026485	11	NOT_SUPPORTED_THIS_TEST
CNDP2	UniProtKB:Q96KP4	False	True	0.0282301928712337	0.9015332553564808	0.9445515705634976	11	NOT_SUPPORTED_THIS_TEST
