cohort	gene	matrix_label	method
GSE263733	PLA2G4E	PLA2G4E	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLA2G4F	PLA2G4F	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLA2G6	PLA2G6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLB1	PLB1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLBD1	PLBD1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLD3	PLD3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLD4	PLD4	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PLOD1	PLOD1	EXACT_CANONICAL
GSE263733	PLOD2	PLOD2	EXACT_CANONICAL
GSE263733	PLOD3	PLOD3	EXACT_CANONICAL
GSE263733	PM20D1	PM20D1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PM20D2	PM20D2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNLIPRP2	NA	MISSING_OR_AMBIGUOUS
GSE263733	PNMT	PNMT	EXACT_CANONICAL
GSE263733	PNP	PNP	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNPLA2	PNPLA2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNPLA3	PNPLA3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNPLA4	PNPLA4	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNPLA6	PNPLA6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNPLA7	PNPLA7	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PNPLA8	PNPLA8	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	PRDM16	PRDM16	EXACT_CANONICAL
GSE263733	PRDM2	PRDM2	EXACT_CANONICAL
GSE263733	PRDM6	PRDM6	EXACT_CANONICAL
GSE263733	PRDM7	PRDM7	EXACT_CANONICAL
GSE263733	PRDM9	PRDM9	EXACT_CANONICAL
GSE263733	PRMT1	PRMT1	EXACT_CANONICAL
GSE263733	PRMT2	PRMT2	EXACT_CANONICAL
GSE263733	PRMT3	PRMT3	EXACT_CANONICAL
GSE263733	PRMT5	PRMT5	EXACT_CANONICAL
GSE263733	PRMT6	PRMT6	EXACT_CANONICAL
GSE263733	PRMT7	PRMT7	EXACT_CANONICAL
GSE263733	PRMT8	PRMT8	EXACT_CANONICAL
GSE263733	PRMT9	PRMT9	EXACT_CANONICAL
GSE263733	PSAT1	PSAT1	EXACT_CANONICAL
GSE263733	PTER	PTER	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	RAD23A	RAD23A	EXACT_CANONICAL
GSE263733	RAD23B	RAD23B	EXACT_CANONICAL
GSE263733	RIDA	HRSP12	UNIQUE_REVIEWED_ALIAS
GSE263733	RIOX1	C14orf169	UNIQUE_REVIEWED_ALIAS
GSE263733	RIOX2	MINA	UNIQUE_REVIEWED_ALIAS
GSE263733	RNMT	RNMT	EXACT_CANONICAL
GSE263733	RSBN1	RSBN1	EXACT_CANONICAL
GSE263733	SAMHD1	SAMHD1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	SDS	SDS	EXACT_CANONICAL
GSE263733	SDSL	SDSL	EXACT_CANONICAL
GSE263733	SETD1A	SETD1A	EXACT_CANONICAL
GSE263733	SETD1B	SETD1B	EXACT_CANONICAL
GSE263733	SETD2	SETD2	EXACT_CANONICAL
GSE263733	SETD3	SETD3	EXACT_CANONICAL
GSE263733	SETD4	SETD4	EXACT_CANONICAL
