cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	ACSL3	Endothelial	3.6787020054808512	0.35521768100935724	4	4	EVALUABLE	0.0
GSE263733	ACSL3	Epithelial/Ductal	4.0794758955267225	0.652209705064255	18	18	EVALUABLE	0.936
GSE263733	ACSL3	Fibroblast/CAF	3.848113964398342	0.529886889375923	11	11	EVALUABLE	0.054
GSE263733	ACSL3	Myeloid	3.7831739678899625	0.3538593489124018	20	20	EVALUABLE	0.01
GSE263733	ACSL3	T/NK	3.4514733190667117	0.12872336910602394	20	20	EVALUABLE	0.0
GSE263733	ACSM1	Acinar	0.0929349093363327	0.001908396946564875	4	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM1	B/Plasma	0.2474479349458037	0.003678547614506065	17	6	EVALUABLE	0.005
GSE263733	ACSM1	Endothelial	0.060027569312871475	0.001016260162601625	4	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM1	Epithelial/Ductal	0.569944810179058	0.029895142651714248	18	16	EVALUABLE	0.99
GSE263733	ACSM1	Fibroblast/CAF	0.16298805781590142	0.008828343218580037	11	3	EVALUABLE	0.005
GSE263733	ACSM1	Myeloid	0.1536445094504094	0.002396287675586515	20	10	EVALUABLE	0.0
GSE263733	ACSM1	T/NK	0.09487361192068337	0.000579842057816755	20	7	EVALUABLE	0.0
GSE263733	ACSM2A	Acinar	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2A	B/Plasma	0.03777243722899325	0.0004651758620965706	17	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2A	Endothelial	0.6296057643924857	0.018673780487804874	4	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2A	Epithelial/Ductal	0.0192636235414209	0.0009252296237766056	18	5	EVALUABLE	0.092
GSE263733	ACSM2A	Fibroblast/CAF	0.0	0.0	11	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2A	Myeloid	0.0641931868394574	0.0012522059593211598	20	4	EVALUABLE	0.889
GSE263733	ACSM2A	T/NK	0.017535935423075175	0.00011165553104171	20	4	EVALUABLE	0.019
GSE263733	ACSM2B	Acinar	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2B	B/Plasma	0.0	0.0	17	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACSM2B	Endothelial	0.6517529646395832	0.014236031216444225	4	3	EVALUABLE	0.963
GSE263733	ACSM2B	Epithelial/Ductal	0.026471946424749156	0.0009482590322399445	18	5	EVALUABLE	0.037
