pathway	direction	p_value_Wu	q_contrast_Wu	overlap_n_Wu	genes_Wu	p_value_Pal	q_contrast_Pal	overlap_n_Pal	genes_Pal
Pertussis	down	0.1750300332	0.5977633884	9	C1R;C1S;C3;CALM1;CASP1;CFL2;IRAK1;ITGA5;ITGB1	0.2559131595	0.6908638961	5	C1R;C1S;C3;CALML3;CALML5
Phagosome	down	5.101801239e-07	3.310502138e-05	31	C1R;C3;CALR;CLEC7A;CYBA;DYNC1H1;DYNC1LI2;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F;ITGA2;ITGA5;ITGB1;MARCO;MRC2;TAP1;TAP2;TUBA4A;TUBB;TUBB6	0.05761282601	0.3408041354	12	C1R;C3;CLEC7A;DYNC1I1;HLA-DQA1;HLA-DRB1;SEC61B;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6
Phosphatidylinositol signaling system	down	0.9421347139	1	5	CALM1;IMPA2;MTMR2;PIK3C2G;PIK3R1	0.4557921123	0.8158984262	6	CALML3;CALML5;IMPA2;PIK3R1;PIP4K2B;SYNJ2
Phospholipase D signaling pathway	down	0.619529737	0.9532298678	11	DNM2;EGFR;GNAS;MRAS;PDGFA;PDGFRB;PIK3R1;PLPP3;RRAS;RRAS2;SPHK1	0.5317568783	0.8303053169	7	EGFR;KIT;MRAS;PIK3R1;PLD1;SHC4;SPHK1
Platelet activation	down	0.006798256306	0.08907649142	18	COL1A1;COL1A2;COL3A1;FGA;FGB;FGG;GNAS;GUCY1A1;ITGA2;ITGB1;LYN;MYLK;PIK3R1;PRKACB;ROCK1;TLN1;TLN2;VASP	0.8119282619	0.9825014262	4	GUCY1A1;GUCY1A2;MYLK;PIK3R1
Porphyrin and chlorophyll metabolism	down	0.6945770495	0.9777120583	2	CP;HMOX1	0.7766406335	0.9746078538	1	HMOX1
Primary immunodeficiency	down	0.390779741	0.7822281322	3	ADA;TAP1;TAP2	1	1	0	NA
Prion disease	down	0.325656246	0.7316759429	25	ATP5F1A;ATP5F1C;CAV1;CAV2;COX4I1;COX5A;CREB5;CSNK2A2;CYBA;LAMC1;NCAM1;NDUFA4L2;NDUFS5;PIK3R1;PPP3CA;PRKACB;PRNP;PSMA7;PSMB2;PSMD7;SDHD;TUBA4A;TUBB;TUBB6;UQCRH	0.02164233505	0.2158826678	22	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PO;CREB3L2;CREB5;NDUFA4L2;NDUFB5;PIK3R1;PSMB1;PSMB2;PSMB3;SDHD;SLC25A5;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6;UQCRH;UQCRHL;VDAC2
Progesterone-mediated oocyte maturation	down	0.6790288284	0.9648487489	7	CCNB2;CDC25B;MAD2L2;PIK3R1;PKMYT1;PLK1;PRKACB	0.2325113743	0.656502704	7	CCNA2;CCNB1;CCNB2;CDK1;MAD2L1;PIK3R1;PLK1
Prolactin signaling pathway	down	0.9851188763	1	2	ELF5;PIK3R1	0.5360540822	0.8303053169	4	ELF5;PIK3R1;SHC4;SOCS7
Propanoate metabolism	down	0.3888492944	0.7822281322	4	ACAT1;ACAT2;ECHDC1;LDHB	0.5964081289	0.8741248912	2	ACAT2;LDHB
Prostate cancer	down	0.2810257472	0.6983788783	11	CREB5;EGFR;ETV5;HSP90B1;MMP3;PDGFA;PDGFRB;PIK3R1;PLAU;TCF7L1;TCF7L2	0.008633850038	0.1344080438	12	CREB3L2;CREB5;E2F3;EGFR;ERBB2;ETV5;FGFR2;GSTP1;IL1R2;PIK3R1;TCF7L1;TGFA
Proteasome	down	0.2696194926	0.687588575	6	PSMA7;PSMB2;PSMB8;PSMB9;PSMD7;PSME4	0.544653831	0.8321295544	3	PSMB1;PSMB2;PSMB3
Protein digestion and absorption	down	1.437356268e-07	1.199165801e-05	18	ATP1B3;COL18A1;COL1A1;COL1A2;COL27A1;COL3A1;COL4A1;COL5A1;COL5A2;COL5A3;COL6A1;COL6A2;COL6A3;COL8A1;COL9A3;KCNN4;MME;SLC36A4	2.862664689e-05	0.002748158101	11	ATP1B3;COL11A2;COL27A1;COL2A1;COL4A1;COL4A2;COL6A1;COL6A2;COL8A1;KCNK5;MME
Protein export	down	0.9153763611	1	1	SRPRA	0.4527000805	0.8158984262	2	SEC61B;SRPRA
Protein processing in endoplasmic reticulum	down	0.1345350937	0.5101850307	21	BAG2;CALR;CKAP4;CRYAB;DDOST;DNAJB11;DNAJC3;EIF2AK4;ERO1A;FBXO2;HSP90B1;LMAN1;MAN1A2;MAP3K5;P4HB;PDIA3;PDIA6;PREB;RAD23A;RRBP1;TUSC3	0.4686125111	0.8210472376	11	BAG2;CKAP4;CRYAB;ERO1A;LMAN1;PDIA6;RAD23A;SEC13;SEC61B;SSR3;TUSC3
Proteoglycans in cancer	down	5.201301907e-06	0.0001898475196	37	CAMK2G;CAV1;CAV2;COL1A1;COL1A2;DCN;EGFR;FAS;FLNA;FLNC;FN1;FZD1;FZD7;HGF;HSPG2;ITGA2;ITGA5;ITGB1;MET;MMP2;MRAS;MSN;PIK3R1;PLAU;PLAUR;PRKACB;RDX;ROCK1;RPS6;RPS6KB2;RRAS;RRAS2;SDC1;SDC2;TGFB1;TIMP3;VEGFA	0.4771018525	0.8210472376	11	EGFR;ERBB2;FZD7;HSPB2;MRAS;MSN;MYC;PIK3R1;PLAUR;RDX;RPS6
Purine metabolism	down	0.07531641123	0.3927212871	15	ADA;AK2;AK4;GUCY1A1;NT5E;NUDT5;PAPSS2;PDE4D;PDE7A;PDE9A;PGM1;PKM;PNP;RRM2;XDH	0.008409163773	0.1344080438	13	GART;GMPR;GMPS;GUCY1A1;GUCY1A2;HPRT1;NT5C3B;NUDT5;PAICS;PAPSS1;PDE4B;PDE9A;PGM1
Pyrimidine metabolism	down	0.05042673301	0.3201001313	9	CTPS1;DTYMK;NT5E;PNP;RRM2;TK1;TYMS;UCK2;UPP1	0.5910876499	0.8707582771	3	CTPS1;NT5C3B;TYMS
Pyruvate metabolism	down	0.005685861615	0.07906055198	9	ACAT1;ACAT2;ACYP2;AKR1A1;DLAT;LDHB;MDH1;ME1;PKM	0.1692537095	0.5498186882	4	ACAT2;LDHB;MDH1;ME1
RIG-I-like receptor signaling pathway	down	0.9716996353	1	2	ATG5;CXCL10	0.8420972794	0.9857714168	2	CXCL10;TANK
RNA degradation	down	0.5617047345	0.9225043149	7	BTG3;CNOT1;DCPS;DIS3;ENO1;MPHOSPH6;PFKP	0.8338338533	0.9857714168	3	BTG3;ENO1;PFKP
RNA polymerase	down	0.8381706072	1	2	POLR2C;POLR2J3	0.3344729653	0.7299643635	3	POLR1E;POLR2F;POLR2H
RNA transport	down	0.7919090733	1	13	CLNS1A;EIF3A;EIF3B;EIF3I;EIF5;EIF5B;NUP93;PNN;POP1;RPP25;SRRM1;UPF2;UPF3A	0.7908292616	0.978211236	8	EEF1A1;EIF3D;EIF4A2;MAGOH;MAGOHB;RPP25;RPP40;SEC13
Rap1 signaling pathway	down	0.2441476378	0.6662720582	20	CALM1;CSF1;EGFR;FGF5;FGFR4;GNAS;HGF;ITGB1;MET;MRAS;PARD3;PDGFA;PDGFRB;PFN2;PIK3R1;RRAS;TLN1;TLN2;VASP;VEGFA	0.5041614019	0.8270326387	10	CALML3;CALML5;EFNA3;EFNA5;EGFR;FGFR2;ID1;KIT;MRAS;PIK3R1
Ras signaling pathway	down	0.2033654933	0.6250813058	21	CALM1;CSF1;EGFR;FGF5;FGFR4;GNB2;GNG11;GNG12;GNG4;HGF;MET;MRAS;NTRK2;PDGFA;PDGFRB;PIK3R1;PRKACB;RASGRF1;RRAS;RRAS2;VEGFA	0.1042994218	0.4309126993	14	CALML3;CALML5;EFNA3;EFNA5;EGFR;FGFR2;KIT;MRAS;NTRK2;PIK3R1;PLA2G2A;PLD1;SHC4;TGFA
Regulation of actin cytoskeleton	down	0.001026081576	0.02140113001	31	ACTN4;ACTR3B;ARPC1B;ARPC2;CFL2;CHRM3;DIAPH3;EGFR;FGF5;FGFR4;FN1;GNG12;GSN;ITGA2;ITGA5;ITGB1;ITGB8;MRAS;MSN;MYH9;MYL9;MYLK;PDGFA;PDGFRB;PFN2;PIK3R1;RDX;ROCK1;RRAS;RRAS2;WASF2	0.08951248167	0.393737796	15	ACTN1;ACTR3B;CHRM3;CXCR4;EGFR;FGFR2;GSN;ITGA6;ITGB8;MRAS;MSN;MYLK;PIK3R1;PIP4K2B;RDX
Regulation of lipolysis in adipocytes	down	0.5706661914	0.9225043149	4	GNAS;IRS2;PIK3R1;PRKACB	0.9197401357	1	1	PIK3R1
Relaxin signaling pathway	down	0.009116710809	0.1063979632	19	ACTA2;COL1A1;COL1A2;COL3A1;COL4A1;CREB5;EDN1;EGFR;GNAS;GNB2;GNG11;GNG12;GNG4;MMP2;PIK3R1;PRKACB;TGFB1;TGFBR2;VEGFA	0.2872347566	0.7162217308	8	COL4A1;COL4A2;CREB3L2;CREB5;EDN1;EGFR;PIK3R1;SHC4
Renal cell carcinoma	down	0.6745996605	0.9648487489	6	EGLN3;HGF;MET;PIK3R1;TGFB1;VEGFA	0.9298635925	1	2	PIK3R1;TGFA
Renin secretion	down	0.09039917743	0.4327304887	8	AQP1;CALM1;CLCA2;EDN1;GNAS;GUCY1A1;PPP3CA;PRKACB	0.02366494761	0.2158826678	7	AQP1;CALML3;CALML5;CLCA2;EDN1;GUCY1A1;GUCY1A2
Retinol metabolism	down	0.6451944743	0.9585670356	2	ALDH1A3;RDH10	0.7259419873	0.9486155154	1	ALDH1A1
Retrograde endocannabinoid signaling	down	0.6883489485	0.9733554139	9	GABRE;GABRP;GNB2;GNG11;GNG12;GNG4;NDUFA4L2;NDUFS5;PRKACB	0.8634253583	0.9948362619	4	CACNA1A;GABRP;NDUFA4L2;NDUFB5
Rheumatoid arthritis	down	2.692806708e-05	0.0008736661764	20	CCL2;CCL20;CSF1;CTSK;CXCL1;CXCL2;CXCL3;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IL18;MMP3;TGFB1;VEGFA	0.3740180718	0.7591333282	5	CXCL2;CXCL3;HLA-DQA1;HLA-DRB1;ICAM1
Ribosome	down	0.03175518034	0.2408444847	20	MRPL11;MRPS11;MRPS15;MRPS5;RPL13;RPL13A;RPL18A;RPL22L1;RPL4;RPS11;RPS16;RPS17;RPS19;RPS20;RPS27A;RPS29;RPS3;RPS6;RPS7;UBA52	6.688266225e-10	1.926220673e-07	30	MRPL34;RPL13;RPL13A;RPL18A;RPL22L1;RPL23;RPL24;RPL27;RPL28;RPL35A;RPL38;RPL4;RPL5;RPL6;RPL7A;RPLP0;RPS11;RPS12;RPS16;RPS19;RPS23;RPS24;RPS25;RPS27A;RPS3;RPS5;RPS6;RPS7;RPSA;UBA52
Ribosome biogenesis in eukaryotes	down	0.2942207656	0.7111929172	9	CSNK2A2;FBL;GNL2;GTPBP4;MPHOSPH10;NOB1;POP1;RPP25;WDR43	0.3127983604	0.7207172061	6	FBL;GNL2;GTPBP4;REXO2;RPP25;RPP40
SNARE interactions in vesicular transport	down	0.8510091931	1	2	STX5;YKT6	1	1	0	NA
Salivary secretion	down	0.1540473819	0.5658092519	8	AQP5;ATP1B3;CALM1;CHRM3;GNAS;GUCY1A1;KCNN4;PRKACB	0.02398696309	0.2158826678	8	AQP5;ATP1B3;CALML3;CALML5;CHRM3;GUCY1A1;GUCY1A2;HTN1
Salmonella infection	down	0.1641074189	0.5738846267	28	ACTR3B;AHNAK2;ANXA2;ARPC1B;ARPC2;BIRC3;CASP1;CASP4;DNM2;DYNC1H1;DYNC1LI2;FLNA;FLNC;GAPDH;HSP90B1;IL18;IRAK1;MYL9;PFN2;PIK3C2G;PODXL;RPS3;RRAS;TCF7L1;TCF7L2;TUBA4A;TUBB;TUBB6	0.5706958205	0.8494077328	14	ACTR3B;BIRC3;DYNC1I1;GAPDH;MYC;RIPK2;RPS3;S100A10;TCF7L1;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB6
Selenocompound metabolism	down	0.07190938749	0.3852759844	4	PAPSS2;PSTK;SEPHS2;TXNRD1	0.6637518343	0.914643676	1	PAPSS1
Serotonergic synapse	down	0.580604147	0.9281239336	6	GNAS;GNB2;GNG11;GNG12;GNG4;PRKACB	0.9691572337	1	1	CACNA1A
Shigellosis	down	0.276797768	0.696642241	25	ACTN4;ACTR3B;ARPC1B;ARPC2;ATG5;ATM;C3;CASP1;CASP4;EGFR;IL18;ITGA5;ITGB1;MYL9;PFN2;PIK3R1;ROCK1;RPS27A;RPS6KB2;SEPTIN11;TLN1;TLN2;UBA52;WASF2;WIPI2	0.9439996613	1	9	ACTN1;ACTR3B;C3;EGFR;PIK3R1;RIPK2;RPS27A;RRAGD;UBA52
Signaling pathways regulating pluripotency of stem cells	down	0.8188596936	1	8	BMP4;FGFR4;FZD1;FZD7;ID4;PIK3R1;RIF1;SMAD1	0.1047357255	0.4309126993	10	DLX5;FGFR2;FZD7;ID1;ID4;INHBA;LIF;MYC;PAX6;PIK3R1
Small cell lung cancer	down	0.03303846474	0.2445795922	14	BIRC3;CDK4;CDK6;CKS1B;COL4A1;FN1;GADD45A;ITGA2;ITGB1;LAMA4;LAMB1;LAMB3;LAMC1;PIK3R1	0.0005062068937	0.02242885929	14	BIRC3;CDK4;CDK6;CDKN2B;CKS1B;COL4A1;COL4A2;E2F3;GADD45A;ITGA6;LAMB1;LAMB3;MYC;PIK3R1
Sphingolipid metabolism	down	0.7574892647	0.9971376994	3	ACER3;PLPP3;SPHK1	0.7099185716	0.9409426699	2	SPHK1;UGT8
Sphingolipid signaling pathway	down	0.9833770858	1	5	BID;MAP3K5;PIK3R1;ROCK1;SPHK1	0.9064550057	1	4	PIK3R1;PLD1;PPP2R3A;SPHK1
Spinocerebellar ataxia	down	0.9094493042	1	8	AFG3L2;MAP3K5;NRBF2;PIK3R1;PSMA7;PSMB2;PSMD7;WIPI2	0.4785422837	0.8210472376	8	CACNA1A;PIK3R1;PSMB1;PSMB2;PSMB3;SLC25A5;VDAC2;VLDLR
Spliceosome	down	0.5691400829	0.9225043149	13	CDC5L;CWC15;DHX38;HNRNPA3;PRPF38A;PRPF38B;PRPF40A;RBM17;RP9;SF3A2;SF3A3;SRSF4;TXNL4A	0.620644277	0.8905847324	8	HNRNPA1;MAGOH;MAGOHB;PLRG1;RBM17;SF3A3;SF3B6;SNRPA1
Staphylococcus aureus infection	down	1.204258334e-06	5.409898978e-05	17	C1R;C1S;C3;DEFB1;FGG;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;KRT14;KRT15;KRT16	1.008829246e-07	1.452714114e-05	13	C1R;C1S;C3;DEFB1;HLA-DQA1;HLA-DRB1;ICAM1;KRT10;KRT14;KRT15;KRT16;KRT17;KRT23
Starch and sucrose metabolism	down	0.1204553348	0.4989072022	4	GPI;PGM1;PGM2L1;UGP2	0.3585658529	0.7483113452	2	PGM1;UGP2
Steroid biosynthesis	down	0.2749057552	0.696642241	3	DHCR7;SQLE;TM7SF2	0.6859083142	0.9296075034	1	LBR
Steroid hormone biosynthesis	down	0.01556721652	0.1507309706	6	AKR1C1;CYP1B1;CYP7B1;HSD17B12;HSD17B2;SRD5A1	0.1568032162	0.5281792547	3	AKR1C3;CYP1B1;SRD5A1
Synaptic vesicle cycle	down	0.776048748	1	4	AP2M1;CLTB;DNM2;SLC1A3	0.6343496372	0.9021861507	3	AP2M1;CACNA1A;CLTA
Systemic lupus erythematosus	down	0.004139558043	0.06361847098	16	ACTN4;C1R;C1S;C3;H2AZ2;H4C3;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;MACROH2A2	0.04556450128	0.3067401843	8	ACTN1;C1R;C1S;C3;H4C3;HLA-DQA1;HLA-DRB1;SSB
T cell receptor signaling pathway	down	0.9906611714	1	3	CDK4;PIK3R1;PPP3CA	0.957729049	1	2	CDK4;PIK3R1
TGF-beta signaling pathway	down	0.1028814633	0.447977073	11	BMP4;DCN;E2F4;FBN1;ID4;LTBP1;ROCK1;RPS6KB2;SMAD1;TGFB1;TGFBR2	0.3127983604	0.7207172061	6	CDKN2B;ID1;ID4;INHBA;MYC;RGMA
TNF signaling pathway	down	0.03308525306	0.2445795922	17	BIRC3;CCL2;CCL20;CFLAR;CREB5;CSF1;CX3CL1;CXCL1;CXCL10;CXCL2;CXCL3;EDN1;FAS;MAP3K5;MMP14;MMP3;PIK3R1	0.04143534589	0.3021108764	11	BIRC3;CREB3L2;CREB5;CXCL10;CXCL2;CXCL3;EDN1;ICAM1;JAG1;LIF;PIK3R1
Taste transduction	down	0.6706359476	0.9640846464	2	CHRM3;PRKACB	0.1255781632	0.4738969073	3	CACNA1A;CHRM3;KCNK5
Terpenoid backbone biosynthesis	down	0.01556721652	0.1507309706	6	ACAT1;ACAT2;FDPS;HMGCS2;MVD;PDSS2	0.04547109746	0.3067401843	4	ACAT2;FDPS;PDSS1;PDSS2
Th1 and Th2 cell differentiation	down	0.04874362749	0.3162919828	12	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;MAML2;NOTCH3;PPP3CA	0.2664379785	0.7009025266	6	DLL3;HLA-DQA1;HLA-DRB1;JAG1;MAML2;NOTCH3
Th17 cell differentiation	down	0.06474263095	0.3611143109	13	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IL27RA;PPP3CA;TGFB1;TGFBR2	0.8846427452	0.9991259239	3	HLA-DQA1;HLA-DRB1;IL27RA
Thermogenesis	down	0.6956581101	0.9777120583	18	ACSL1;ACSL5;ATP5F1A;ATP5F1C;COX4I1;COX5A;CREB5;GNAS;MAP3K5;NDUFA4L2;NDUFAF4;NDUFS5;PRKACB;RPS6;RPS6KB2;SDHD;SMARCA4;UQCRH	0.2432468682	0.673606712	15	ACTL6A;ATP5F1B;ATP5F1C;ATP5MC3;ATP5MG;ATP5PO;CREB3L2;CREB5;NDUFA4L2;NDUFAF4;NDUFB5;RPS6;SDHD;UQCRH;UQCRHL
Thyroid cancer	down	0.7055922793	0.9777120583	3	GADD45A;TCF7L1;TCF7L2	0.3712663305	0.7591333282	3	GADD45A;MYC;TCF7L1
Thyroid hormone signaling pathway	down	0.5848452184	0.9281239336	10	ATP1B3;BMP4;DIO2;HDAC2;NOTCH3;PFKP;PIK3R1;PRKACB;RCAN1;TBC1D4	0.2969903856	0.7207172061	8	ATP1B3;HDAC2;MED30;MYC;NOTCH3;PFKP;PIK3R1;RCAN1
Thyroid hormone synthesis	down	0.2426803215	0.6662720582	7	ATP1B3;CREB5;GNAS;GPX7;GPX8;HSP90B1;PRKACB	0.1832773343	0.567568519	5	ATP1B3;CREB3L2;CREB5;GPX3;GPX7
Tight junction	down	0.06239412318	0.3611143109	20	ACTN4;ACTR3B;ARPC1B;ARPC2;CDK4;CLDN1;ITGB1;MAP3K5;MARVELD3;MSN;MYH9;MYL9;PARD3;PRKACB;RDX;ROCK1;TJP1;TUBA4A;VASP;YBX3	0.1594995523	0.5328926447	12	ACTN1;ACTR3B;CDK4;CLDN8;ERBB2;MSN;PCNA;RDX;TUBA1B;TUBA1C;TUBA4A;YBX3
Toll-like receptor signaling pathway	down	0.665500677	0.9640846464	7	CTSK;CXCL10;IFNAR2;IRAK1;LBP;PIK3R1;SPP1	0.8262844955	0.9857714168	3	CXCL10;IFNAR2;PIK3R1
Toxoplasmosis	down	0.01324481631	0.1357012759	17	BIRC3;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IRAK1;ITGB1;LAMA4;LAMB1;LAMB3;LAMC1;TGFB1	0.5251836031	0.8303053169	6	BIRC3;HLA-DQA1;HLA-DRB1;ITGA6;LAMB1;LAMB3
Transcriptional misregulation in cancer	down	0.04492155291	0.3071040803	21	ATM;BIRC3;CDKN2C;ETV5;ETV6;ETV7;GADD45A;HDAC2;HMGA2;HOXA10;HOXA9;IGFBP3;KLF3;MET;MMP3;PDGFA;PLAU;PML;PROM1;SMAD1;TGFBR2	0.115403311	0.4562956651	12	BCL2A1;BIRC3;CCNA2;CDKN2C;DUSP6;ETV1;ETV5;GADD45A;HDAC2;IGFBP3;IL1R2;MYC
Tryptophan metabolism	down	0.2026105268	0.6250813058	5	ACAT1;ACAT2;CYP1B1;KYNU;TDO2	0.3160202322	0.7252097759	3	ACAT2;CYP1B1;TDO2
Tuberculosis	down	0.01197856475	0.1249193181	23	BID;C3;CALM1;CAMK2G;CD74;CLEC7A;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;IL18;IRAK1;LBP;LSP1;MRC2;PPP3CA;SPHK1;TGFB1	0.4497183616	0.8158984262	9	C3;CALML3;CALML5;CEBPG;CLEC7A;HLA-DQA1;HLA-DRB1;RIPK2;SPHK1
Type I diabetes mellitus	down	5.34084415e-10	9.492842114e-08	16	CPE;FAS;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F	0.4527000805	0.8158984262	2	HLA-DQA1;HLA-DRB1
Type II diabetes mellitus	down	0.6237628762	0.9532298678	3	IRS2;PIK3R1;PKM	0.614472623	0.8892870121	2	CACNA1A;PIK3R1
Tyrosine metabolism	down	0.8387687954	1	1	HGD	1	1	0	NA
Ubiquitin mediated proteolysis	down	0.6143139721	0.9507938619	13	BIRC3;CDC20;CDC34;FANCL;FBXO2;HERC2;PML;RPS27A;SAE1;UBA52;UBE2C;UBE2E3;UBE2S	0.515365413	0.8286390768	9	BIRC3;CDC20;FANCL;MID1;RPS27A;UBA52;UBE2C;UBE2E3;UBE2S
VEGF signaling pathway	down	0.762479792	1	4	PIK3R1;PPP3CA;SPHK1;VEGFA	0.8247291716	0.9857714168	2	PIK3R1;SPHK1
Valine, leucine and isoleucine degradation	down	0.3060988133	0.7316759429	6	ACAA2;ACAT1;ACAT2;HMGCS2;IVD;OXCT1	0.5120501964	0.8270326387	3	ACAT2;MCCC1;OXCT1
Various types of N-glycan biosynthesis	down	0.02986494224	0.2325483502	8	ALG3;CHST9;DDOST;HEXA;MAN1A2;MGAT1;MGAT4B;TUSC3	0.7099185716	0.9409426699	2	CHST9;TUSC3
Vascular smooth muscle contraction	down	0.1233409474	0.5025622839	13	ACTA2;ACTG2;ADM;CALD1;CALM1;EDN1;GNAS;GUCY1A1;MYH9;MYL9;MYLK;PRKACB;ROCK1	0.1116904435	0.4467617741	9	ACTG2;CALD1;CALML3;CALML5;EDN1;GUCY1A1;GUCY1A2;MYLK;PLA2G2A
Vasopressin-regulated water reabsorption	down	0.3223672925	0.7316759429	5	CREB5;DYNC1H1;DYNC1LI2;GNAS;PRKACB	0.4433940093	0.8149707692	3	CREB3L2;CREB5;DYNC1I1
Vibrio cholerae infection	down	0.3246570127	0.7316759429	6	ERO1A;GNAS;KDELR2;KDELR3;PRKACB;TJP1	0.5604719828	0.8435150821	3	ERO1A;KDELR3;SEC61B
Viral carcinogenesis	down	0.2791340486	0.696642241	20	ACTN4;C3;CDC20;CDK4;CDK6;CHEK1;CREB5;GSN;H4C3;HDAC2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;LTBR;LYN;PIK3R1;PKM;PRKACB	0.01012920569	0.1535374337	19	ACTN1;C3;CCNA2;CDC20;CDK1;CDK4;CDK6;CDKN2A;CDKN2B;CHEK1;CREB3L2;CREB5;EGR2;GSN;GTF2E2;H4C3;HDAC2;PIK3R1;RANBP1
Viral myocarditis	down	1.204258334e-06	5.409898978e-05	17	BID;CAV1;DMD;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DRA;HLA-DRB5;HLA-E;HLA-F	0.05005829397	0.3067401843	6	CXADR;DMD;HLA-DQA1;HLA-DRB1;ICAM1;SGCB
Viral protein interaction with cytokine and cytokine receptor	down	9.57521411e-05	0.00279596252	14	CCL2;CCL20;CCL28;CSF1;CX3CL1;CXCL1;CXCL10;CXCL14;CXCL2;CXCL3;IL18;IL20RB;IL34;LTBR	0.02202010517	0.2158826678	6	CCL28;CXCL10;CXCL2;CXCL3;CXCR4;IL34
Wnt signaling pathway	down	0.2277564419	0.6470921065	16	CAMK2G;CSNK2A2;CTNNBIP1;DKK1;FZD1;FZD7;LRP5;LRP6;MMP7;PPP3CA;PRKACB;ROR1;SFRP1;TCF7L1;TCF7L2;TLE1	0.1534314289	0.5198617827	11	CTNNBIP1;DKK1;FZD7;LRP6;MMP7;MYC;PRICKLE1;SFRP1;TCF7L1;TLE1;TLE4
Yersinia infection	down	0.3937929296	0.7822281322	14	ACTR3B;ARPC1B;ARPC2;CASP1;CCL2;FN1;IL18;IRAK1;ITGA5;ITGB1;PIK3R1;ROCK1;SKAP2;WASF2	0.9968784346	1	2	ACTR3B;PIK3R1
beta-Alanine metabolism	down	1	1	0	NA	0.7608781445	0.9739240249	1	SMOX
cAMP signaling pathway	down	0.6360348963	0.95486987	13	ATP1B3;CALM1;CAMK2G;CREB5;EDN1;GNAS;MYL9;PDE4D;PIK3R1;PRKACB;ROCK1;RRAS;RRAS2	0.2906678216	0.7207172061	10	ATP1B3;CALML3;CALML5;CREB3L2;CREB5;EDN1;PDE4B;PIK3R1;PLD1;SOX9
cGMP-PKG signaling pathway	down	0.5954498393	0.9398451517	11	ATP1B3;CALM1;CREB5;GUCY1A1;IRS2;MYL9;MYLK;PPP3CA;RGS2;ROCK1;VASP	0.1525553047	0.5198617827	10	ATP1B3;CALML3;CALML5;CREB3L2;CREB5;GUCY1A1;GUCY1A2;MYLK;SLC25A5;VDAC2
mRNA surveillance pathway	down	0.8682788074	1	6	PABPN1;PAPOLA;PNN;SRRM1;UPF2;UPF3A	0.9211134626	1	3	MAGOH;MAGOHB;PPP2R3A
mTOR signaling pathway	down	0.8913711708	1	10	FZD1;FZD7;LPIN1;LRP5;LRP6;PIK3R1;RPS6;RPS6KB2;SGK1;SLC7A5	0.7601399582	0.9739240249	7	FZD7;LRP6;PIK3R1;RPS6;RRAGD;SEC13;SGK1
p53 signaling pathway	down	2.759626199e-06	0.0001151158357	21	AIFM2;ATM;BID;CCNB2;CD82;CDK4;CDK6;CHEK1;FAS;GADD45A;GTSE1;IGFBP3;RRM2;SERPINB5;SERPINE1;SESN3;SFN;SIVA1;STEAP3;TP53I3;ZMAT3	2.280116532e-05	0.002626694245	15	CCNB1;CCNB2;CDK1;CDK4;CDK6;CDKN2A;CHEK1;CHEK2;GADD45A;GTSE1;IGFBP3;PERP;SERPINB5;SESN3;SFN
